ClassID		  Section		  DepartmentID

801 		  P10-A  		  901
802		  P10-B  		  901
803	          P10-C  		  901
804  		  P11-A  		  901
805		  P11-B  		  901
806  		  P11-C  		  901
807               P12-A                   901
808               P12-B                   901
809               P12-C                   901
810               P13-A                   901
811               P13-B                   902
812               P13-C                   902
813               P14-A                   902                                       
814               P14-B                   902
815               P14-C                   902
816               P15-A                   902
817               P15-B                   902
818               P15-C                   902
819               P16-A                   902
820               P16-B                   902
821               P16-C                   903
822               P17-A                   903
823               P17-B                   903
824               P17-C                   903
825               P18-A                   903
826               P18-B                   903 
827               P18-C                   903
828               P19-A                   903
829               P19-B                   903
830               P19-C                   903
831               P20-A                   904
832               P20-B                   904
833               P20-C                   904
834               P21-A                   904
835               P21-B                   904
836               P21-C                   904
837               P22-A                   904
838               P22-B                   904
839               P22-C                   904
840               P23-A                   904
841               P23-B                   905
842               P23-C                   905
843               P24-A                   905
844               P24-B                   905
845               P24-C                   905
846               P25-A                   906
847               P25-B                   906 
848               P25-C                   906
849               P26-A                   906
850               P26-B                   906

